  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      4.0303E-03      1.4026E+00      1.2430E+00      1.6489E+00      2.5560E-03      6.4846E+01      1.2560E+02      1.0000E+00
      5.2186E-03      1.0855E+00      1.0181E+00      1.2094E+00      4.8258E-03      8.7200E+01      9.5482E+01      1.0000E+00
      5.9531E-03      1.0463E+00      1.0073E+00      1.1228E+00      5.7365E-03      8.7442E+01      9.2014E+01      1.0000E+00
      6.3465E-03      1.0361E+00      1.0028E+00      1.0774E+00      6.1820E-03      8.8251E+01      9.1201E+01      1.0000E+00
      6.4718E-03      1.0319E+00      1.0013E+00      1.0512E+00      6.3918E-03      8.9263E+01      9.0738E+01      1.0000E+00
      6.3505E-03      1.0363E+00      1.0028E+00      1.0778E+00      6.1868E-03      8.8238E+01      9.1171E+01      1.0000E+00
      5.9797E-03      1.0477E+00      1.0078E+00      1.1260E+00      5.7676E-03      8.7351E+01      9.2180E+01      1.0000E+00
      5.3352E-03      1.0983E+00      1.0218E+00      1.2305E+00      4.9270E-03      8.6930E+01      9.6360E+01      1.0000E+00
      4.3927E-03      1.4638E+00      1.3027E+00      1.6596E+00      2.7897E-03      6.0053E+01      1.2913E+02      1.0000E+00
      3.9986E-03      1.3672E+00      1.2862E+00      1.6349E+00      2.3671E-03      6.6768E+01      1.2823E+02      1.0000E+00
      6.2799E-03      1.1140E+00      1.0395E+00      1.2847E+00      5.3992E-03      7.7054E+01      1.0087E+02      1.0000E+00
      6.7786E-03      1.0691E+00      1.0159E+00      1.1592E+00      6.1287E-03      8.0056E+01      9.7122E+01      1.0000E+00
      6.0405E-03      1.0366E+00      1.0020E+00      1.0641E+00      5.9195E-03      8.8664E+01      9.1005E+01      1.0000E+00
      6.1881E-03      1.0186E+00      1.0011E+00      1.0469E+00      6.1131E-03      8.9330E+01      9.0683E+01      1.0000E+00
      6.3295E-03      1.0150E+00      1.0005E+00      1.0327E+00      6.2688E-03      8.9440E+01      9.0532E+01      1.0000E+00
      6.3788E-03      1.0138E+00      1.0003E+00      1.0230E+00      6.3494E-03      8.9730E+01      9.0270E+01      1.0000E+00
      6.3329E-03      1.0154E+00      1.0005E+00      1.0335E+00      6.2714E-03      8.9423E+01      9.0529E+01      1.0000E+00
