  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      4.8441E-02      1.1588E+00      1.1060E+00      1.2922E+00      3.4268E-02      8.1530E+01      1.1529E+02      1.0000E+00
      7.6114E-02      1.0573E+00      1.0124E+00      1.1577E+00      7.0435E-02      8.4506E+01      9.3306E+01      1.0000E+00
      8.4468E-02      1.0671E+00      1.0068E+00      1.1224E+00      8.1576E-02      8.7955E+01      9.2008E+01      1.0000E+00
      7.0349E-02      1.2602E+00      1.1347E+00      1.4562E+00      5.0603E-02      7.1441E+01      1.1744E+02      1.0000E+00
      7.6101E-02      1.0574E+00      1.0124E+00      1.1578E+00      7.0435E-02      8.4496E+01      9.3315E+01      1.0000E+00
      8.0652E-02      1.0137E+00      1.0012E+00      1.0268E+00      7.8479E-02      8.8709E+01      9.2830E+01      1.0000E+00
      8.5664E-02      1.0118E+00      1.0005E+00      1.0289E+00      8.5092E-02      8.9110E+01      9.0981E+01      1.0000E+00
      9.3853E-02      1.0738E+00      1.0210E+00      1.1551E+00      8.2557E-02      7.8372E+01      9.5481E+01      1.0000E+00
      6.5181E-02      1.3205E+00      1.1699E+00      1.4761E+00      4.7209E-02      6.6341E+01      1.2070E+02      1.0000E+00
      8.4346E-02      1.0679E+00      1.0071E+00      1.1250E+00      8.1361E-02      8.8007E+01      9.2185E+01      1.0000E+00
      8.5576E-02      1.0120E+00      1.0006E+00      1.0287E+00      8.5066E-02      8.8967E+01      9.1114E+01      1.0000E+00
      8.7825E-02      1.0017E+00      1.0002E+00      1.0028E+00      8.7642E-02      8.8995E+01      9.1101E+01      1.0000E+00
      8.2130E-02      1.0349E+00      1.0017E+00      1.0578E+00      8.0172E-02      8.8599E+01      9.1377E+01      1.0000E+00
      6.9762E-02      1.0852E+00      1.0103E+00      1.1532E+00      6.7087E-02      8.5599E+01      9.3313E+01      1.0000E+00
      6.9789E-02      1.2655E+00      1.1353E+00      1.4566E+00      4.9773E-02      7.1742E+01      1.1767E+02      1.0000E+00
      9.3205E-02      1.0784E+00      1.0235E+00      1.1576E+00      8.2327E-02      7.7707E+01      9.6681E+01      1.0000E+00
      8.2254E-02      1.0354E+00      1.0021E+00      1.0621E+00      8.0463E-02      8.8668E+01      9.2067E+01      1.0000E+00
      8.5907E-02      1.0580E+00      1.0123E+00      1.1069E+00      7.8332E-02      8.1086E+01      9.4169E+01      1.0000E+00
      5.7506E-02      1.3069E+00      1.1700E+00      1.5596E+00      3.9609E-02      6.8790E+01      1.1985E+02      1.0000E+00
      6.3416E-02      1.3213E+00      1.1390E+00      1.5154E+00      4.5485E-02      6.9066E+01      1.1793E+02      1.0000E+00
      7.0917E-02      1.0842E+00      1.0121E+00      1.1665E+00      6.9340E-02      8.8753E+01      9.2219E+01      1.0000E+00
      5.9005E-02      1.3059E+00      1.1599E+00      1.4886E+00      4.1830E-02      6.8536E+01      1.1984E+02      1.0000E+00
      4.7986E-02      1.2499E+00      1.1922E+00      1.5492E+00      2.8412E-02      7.5011E+01      1.2235E+02      1.0000E+00
      4.7986E-02      1.2498E+00      1.1922E+00      1.5491E+00      2.8411E-02      7.5011E+01      1.2236E+02      1.0000E+00
      9.6150E-02      1.2137E+00      1.0658E+00      1.4268E+00      7.3574E-02      7.7316E+01      1.0484E+02      1.0000E+00
      1.1245E-01      1.2424E+00      1.0588E+00      1.3533E+00      9.2223E-02      8.0029E+01      1.0260E+02      1.0000E+00
      6.9802E-02      1.2655E+00      1.1964E+00      1.4521E+00      4.2312E-02      7.7129E+01      1.2330E+02      1.0000E+00
      7.1208E-02      1.2697E+00      1.1544E+00      1.4738E+00      4.9724E-02      7.0986E+01      1.1926E+02      1.0000E+00
      6.6682E-02      1.3061E+00      1.0916E+00      1.5371E+00      4.9684E-02      7.2861E+01      1.1139E+02      1.0000E+00
      7.0931E-02      1.7083E+00      1.3730E+00      1.9789E+00      3.7770E-02      6.4104E+01      1.2791E+02      1.0000E+00
      6.5671E-02      1.0622E+00      1.0198E+00      1.1285E+00      5.9452E-02      7.8704E+01      9.6675E+01      1.0000E+00
      5.0517E-02      1.3421E+00      1.1799E+00      1.5979E+00      3.0659E-02      7.5156E+01      1.2188E+02      1.0000E+00
      5.4715E-02      1.2681E+00      1.1670E+00      1.5769E+00      3.7755E-02      7.0343E+01      1.1828E+02      1.0000E+00
      5.4993E-02      1.2628E+00      1.1511E+00      1.5626E+00      3.8380E-02      7.1245E+01      1.1709E+02      1.0000E+00
      5.2289E-02      1.3197E+00      1.2007E+00      1.5833E+00      3.2363E-02      7.5369E+01      1.2306E+02      1.0000E+00
      8.0568E-02      1.2773E+00      1.0731E+00      1.4295E+00      6.9593E-02      7.9879E+01      9.8689E+01      1.0000E+00
      5.8038E-02      1.3201E+00      1.2058E+00      1.5017E+00      3.6702E-02      7.2325E+01      1.2390E+02      1.0000E+00
      6.3376E-02      1.3373E+00      1.1475E+00      1.5949E+00      4.3620E-02      6.9602E+01      1.1817E+02      1.0000E+00
      7.0465E-02      1.2645E+00      1.1484E+00      1.4647E+00      4.9106E-02      7.1883E+01      1.1887E+02      1.0000E+00
      6.9661E-02      1.2670E+00      1.1987E+00      1.4551E+00      4.2137E-02      7.7025E+01      1.2346E+02      1.0000E+00
      1.1236E-01      1.2430E+00      1.0592E+00      1.3549E+00      9.2082E-02      8.0028E+01      1.0267E+02      1.0000E+00
      9.6139E-02      1.2137E+00      1.0658E+00      1.4268E+00      7.3578E-02      7.7317E+01      1.0483E+02      1.0000E+00
