  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      6.1409E-03      1.3965E+00      1.2391E+00      1.6226E+00      3.8100E-03      6.6570E+01      1.2580E+02      1.0000E+00
      8.2428E-03      1.0784E+00      1.0172E+00      1.2030E+00      7.6058E-03      8.6876E+01      9.5325E+01      1.0000E+00
      9.4805E-03      1.0464E+00      1.0066E+00      1.1181E+00      9.1135E-03      8.7386E+01      9.1645E+01      1.0000E+00
      1.0046E-02      1.0403E+00      1.0027E+00      1.0763E+00      9.8024E-03      8.8432E+01      9.1244E+01      1.0000E+00
      1.0046E-02      1.0403E+00      1.0027E+00      1.0763E+00      9.8024E-03      8.8432E+01      9.1244E+01      1.0000E+00
      9.4805E-03      1.0464E+00      1.0066E+00      1.1181E+00      9.1135E-03      8.7386E+01      9.1645E+01      1.0000E+00
      8.2428E-03      1.0784E+00      1.0172E+00      1.2030E+00      7.6058E-03      8.6876E+01      9.5325E+01      1.0000E+00
      6.1409E-03      1.3965E+00      1.2391E+00      1.6226E+00      3.8100E-03      6.6570E+01      1.2580E+02      1.0000E+00
      8.7498E-03      1.2711E+00      1.2583E+00      1.4397E+00      5.2674E-03      7.2461E+01      1.2734E+02      1.0000E+00
      1.0398E-02      1.0529E+00      1.0163E+00      1.1328E+00      9.6296E-03      8.0499E+01      9.7984E+01      1.0000E+00
      9.4498E-03      1.0372E+00      1.0021E+00      1.0670E+00      9.2262E-03      8.8207E+01      9.0957E+01      1.0000E+00
      9.7210E-03      1.0167E+00      1.0010E+00      1.0438E+00      9.6152E-03      8.9359E+01      9.0596E+01      1.0000E+00
      9.9196E-03      1.0166E+00      1.0005E+00      1.0325E+00      9.8344E-03      8.9500E+01      9.0487E+01      1.0000E+00
      9.9196E-03      1.0166E+00      1.0005E+00      1.0325E+00      9.8344E-03      8.9500E+01      9.0487E+01      1.0000E+00
      9.7210E-03      1.0167E+00      1.0010E+00      1.0438E+00      9.6152E-03      8.9359E+01      9.0596E+01      1.0000E+00
      9.4498E-03      1.0372E+00      1.0021E+00      1.0670E+00      9.2262E-03      8.8207E+01      9.0957E+01      1.0000E+00
      1.0398E-02      1.0529E+00      1.0163E+00      1.1328E+00      9.6296E-03      8.0499E+01      9.7984E+01      1.0000E+00
      8.7498E-03      1.2711E+00      1.2583E+00      1.4397E+00      5.2674E-03      7.2461E+01      1.2734E+02      1.0000E+00
      4.9573E-03      1.2404E+00      1.1965E+00      1.4501E+00      2.8929E-03      7.4732E+01      1.2330E+02      1.0000E+00
      9.9968E-03      1.1951E+00      1.0431E+00      1.3887E+00      8.2197E-03      7.5612E+01      1.0255E+02      1.0000E+00
      1.1892E-02      1.0931E+00      1.0299E+00      1.1574E+00      1.0496E-02      7.6236E+01      9.7953E+01      1.0000E+00
      1.0350E-02      1.0082E+00      1.0013E+00      1.0209E+00      1.0229E-02      8.7419E+01      9.2733E+01      1.0000E+00
      1.0059E-02      1.0051E+00      1.0004E+00      1.0155E+00      9.9966E-03      8.8571E+01      9.1399E+01      1.0000E+00
      9.9568E-03      1.0046E+00      1.0001E+00      1.0099E+00      9.9478E-03      8.9696E+01      9.0295E+01      1.0000E+00
