  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.5067E-03      1.3265E+00      1.2607E+00      1.5335E+00      1.6354E-03      6.5080E+01      1.2663E+02      1.0000E+00
      3.1464E-03      1.0569E+00      1.0273E+00      1.1160E+00      2.9655E-03      7.9806E+01      1.0228E+02      1.0000E+00
      3.4587E-03      1.0409E+00      1.0191E+00      1.0696E+00      3.3781E-03      7.9255E+01      1.0043E+02      1.0000E+00
      3.6009E-03      1.0332E+00      1.0164E+00      1.0390E+00      3.5462E-03      7.9755E+01      9.9405E+01      1.0000E+00
      3.6325E-03      1.0301E+00      1.0153E+00      1.0264E+00      3.5844E-03      8.0436E+01      9.9957E+01      1.0000E+00
      3.5686E-03      1.0345E+00      1.0175E+00      1.0482E+00      3.4811E-03      8.0693E+01      1.0048E+02      1.0000E+00
      3.4091E-03      1.0462E+00      1.0213E+00      1.0880E+00      3.2920E-03      8.0079E+01      1.0093E+02      1.0000E+00
      3.1406E-03      1.0702E+00      1.0287E+00      1.1535E+00      3.0165E-03      7.9198E+01      1.0088E+02      1.0000E+00
      2.7400E-03      1.1381E+00      1.0421E+00      1.2883E+00      2.5013E-03      7.7712E+01      9.7878E+01      1.0000E+00
      2.1985E-03      1.5220E+00      1.2346E+00      1.7744E+00      1.3626E-03      6.4170E+01      1.2445E+02      1.0000E+00
      2.1673E-03      1.2878E+00      1.3196E+00      1.5720E+00      1.3003E-03      6.7245E+01      1.2918E+02      1.0000E+00
      3.0026E-03      1.0978E+00      1.0338E+00      1.1570E+00      2.6328E-03      8.1171E+01      1.0466E+02      1.0000E+00
      4.0067E-03      1.1424E+00      1.0390E+00      1.2058E+00      3.5567E-03      7.5597E+01      1.0178E+02      1.0000E+00
      4.0484E-03      1.1322E+00      1.0232E+00      1.2134E+00      3.5716E-03      7.9590E+01      9.7927E+01      1.0000E+00
      3.5054E-03      1.0178E+00      1.0018E+00      1.0256E+00      3.4554E-03      8.6715E+01      9.2952E+01      1.0000E+00
      3.5397E-03      1.0106E+00      1.0026E+00      1.0229E+00      3.5186E-03      8.6132E+01      9.3915E+01      1.0000E+00
      3.5837E-03      1.0119E+00      1.0028E+00      1.0190E+00      3.5629E-03      8.5775E+01      9.3904E+01      1.0000E+00
      3.5917E-03      1.0117E+00      1.0028E+00      1.0164E+00      3.5730E-03      8.5916E+01      9.4257E+01      1.0000E+00
      3.5617E-03      1.0140E+00      1.0033E+00      1.0262E+00      3.5287E-03      8.5886E+01      9.4488E+01      1.0000E+00
      3.4944E-03      1.0184E+00      1.0040E+00      1.0420E+00      3.4537E-03      8.5601E+01      9.4551E+01      1.0000E+00
      3.3979E-03      1.0327E+00      1.0050E+00      1.0703E+00      3.3392E-03      8.5289E+01      9.4220E+01      1.0000E+00
      3.3375E-03      1.0575E+00      1.0071E+00      1.1034E+00      3.2625E-03      8.5069E+01      9.4192E+01      1.0000E+00
      3.8234E-03      1.1152E+00      1.0358E+00      1.2376E+00      3.4254E-03      7.5904E+01      9.9074E+01      1.0000E+00
      3.5618E-03      1.0816E+00      1.0339E+00      1.2770E+00      3.0570E-03      8.3818E+01      9.9282E+01      1.0000E+00
      2.4107E-03      1.4712E+00      1.2393E+00      1.7573E+00      1.4340E-03      6.5993E+01      1.2564E+02      1.0000E+00
      3.0158E-03      1.2566E+00      1.3081E+00      1.4566E+00      1.7811E-03      7.3164E+01      1.2980E+02      1.0000E+00
      3.6489E-03      1.1072E+00      1.0162E+00      1.1528E+00      3.3815E-03      8.3715E+01      9.7435E+01      1.0000E+00
      3.4617E-03      1.0357E+00      1.0038E+00      1.0795E+00      3.3149E-03      8.7729E+01      9.4313E+01      1.0000E+00
      3.6760E-03      1.0299E+00      1.0017E+00      1.0492E+00      3.6208E-03      8.8145E+01      9.2135E+01      1.0000E+00
      3.7296E-03      1.0223E+00      1.0007E+00      1.0386E+00      3.6819E-03      8.9104E+01      9.0589E+01      1.0000E+00
      3.6473E-03      1.0144E+00      1.0002E+00      1.0217E+00      3.6053E-03      8.9252E+01      9.0659E+01      1.0000E+00
      3.5972E-03      1.0016E+00      1.0001E+00      1.0041E+00      3.5931E-03      8.9213E+01      9.0787E+01      1.0000E+00
      3.5949E-03      1.0029E+00      1.0002E+00      1.0050E+00      3.5909E-03      8.8936E+01      9.1025E+01      1.0000E+00
      3.5944E-03      1.0031E+00      1.0002E+00      1.0053E+00      3.5895E-03      8.8902E+01      9.1150E+01      1.0000E+00
      3.5861E-03      1.0037E+00      1.0002E+00      1.0079E+00      3.5779E-03      8.8863E+01      9.1217E+01      1.0000E+00
      3.5706E-03      1.0050E+00      1.0003E+00      1.0121E+00      3.5612E-03      8.8773E+01      9.1245E+01      1.0000E+00
      3.5603E-03      1.0082E+00      1.0004E+00      1.0176E+00      3.5527E-03      8.8666E+01      9.1303E+01      1.0000E+00
      3.5996E-03      1.0168E+00      1.0011E+00      1.0317E+00      3.5699E-03      8.7655E+01      9.1940E+01      1.0000E+00
      3.6511E-03      1.0273E+00      1.0023E+00      1.0423E+00      3.6092E-03      8.6951E+01      9.3144E+01      1.0000E+00
      3.6096E-03      1.0255E+00      1.0036E+00      1.0633E+00      3.5578E-03      8.6750E+01      9.3309E+01      1.0000E+00
      3.9802E-03      1.1095E+00      1.0301E+00      1.2011E+00      3.5944E-03      7.6789E+01      9.8284E+01      1.0000E+00
      3.4827E-03      1.0987E+00      1.0400E+00      1.3246E+00      2.9197E-03      8.1623E+01      9.9054E+01      1.0000E+00
      2.1976E-03      1.4617E+00      1.2817E+00      1.7255E+00      1.2711E-03      6.5197E+01      1.2831E+02      1.0000E+00
      2.2138E-03      1.2482E+00      1.3477E+00      1.5967E+00      1.2792E-03      6.9605E+01      1.2962E+02      1.0000E+00
      3.7370E-03      1.2264E+00      1.0725E+00      1.3216E+00      3.2039E-03      7.1878E+01      1.0762E+02      1.0000E+00
      4.2060E-03      1.1462E+00      1.0302E+00      1.2327E+00      3.7644E-03      7.8709E+01      9.8658E+01      1.0000E+00
      3.6867E-03      1.0342E+00      1.0024E+00      1.0690E+00      3.5924E-03      8.9016E+01      9.2405E+01      1.0000E+00
      3.6325E-03      1.0160E+00      1.0006E+00      1.0332E+00      3.5911E-03      8.9489E+01      9.1112E+01      1.0000E+00
      3.6327E-03      1.0071E+00      1.0001E+00      1.0155E+00      3.6227E-03      8.9749E+01      9.0166E+01      1.0000E+00
      3.6397E-03      1.0061E+00      1.0001E+00      1.0110E+00      3.6311E-03      8.9668E+01      9.0267E+01      1.0000E+00
